Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
292,Bartok,Rumanian Folk Dances,S,4 or 5,"3 mvts, all mvts",,
293,Bartok/Serly,Bartok Suite,F,"1, 2 or 3",No Score,,
294,Beethoven/Woodhouse,Finale Symphony #5,F,3,,,
295,Beethoven,Symphony #5 in C minor,S,N,,,
296,Beethoven,Egmont Overture,S,N,,,
297,Beethoven,5th Symphony,S,3 - finale,,,
298,Beethoven,Symphony #7,S,N,,,
299,Bergsma,Paul Bunyan Suite,F,N,,,
300,Berlioz/Leidig,March to the Scaffold,F,3 or 4,,,
301,Hector Berlioz,Marche Hongroise,Full Orchestra,N,,,
302,Bizet,Carmen Suite #1,F,3 or 5,,,
303,Bizet,Carmen Suite #1,F,3 or 5,Scores Only,,
304,Bizet,Carmen Suite #1,F,3 or 5,Incl. Soprano Sax,,
305,Bizet,Carmen Suite #1,F,3 or 5,Original Parts,,
306,Boccherini,"Symphony in D, op. 16, #2",S/Oboe/Horns,5,play all,,
307,Borodin,Dances From Prince Igor,F,N,,,
308,Brahms,Academic Festival Overture,F,5,,,
309,Britten,Simple Symphony,S,5,Play 1 mvt.,,
310,Britten/Stone,Five Courtly Dances From Gloria,F,N,,,
311,Britten,Matinees Musicales,,5,Play 1,,
312,Bullock,Variants,F,N,VERY incomplete parts,,
313,R. K. Clark,"Overture, Prayer, & Dance",Full Orchestra,N,,,
314,Copland,Outdoor Overture,F,4,,,
315,Copland,"Waltz, From Billy the Kid",F,N,,,
316,Copland,Down a Country Lane,F,N,,,
317,Copland,John Henry,F,4,,,
318,Couperin/Milhaud,"Overture & Allegro from ""La Sultane"" Suite",F,5,,,
319,Paul Creston,Night in Mexico,Full Orchestra,5,,,
320,M. L. Daniels,Hunter's Song & Jig,Full Orchestra,N,,,
321,Del Borgo,Chant and Joyous Dance,F,3,,,
322,Del Borgo,Australian Suite,F,N,,,
323,Frederick Delius,The Walk to the Paradise Garden,Full Orchestra,N,,,
324,Frederick Delius,Summer Evening,Full Orchestra,N,,,
325,L. Delibes,March and Procession of Bacchus,string,N,,,
326,Dvorak,Symphony #4,Wind & String Parts,N,,,
327,Dvorak/Leidig,"Dvorak's 9th Symphony ""New World"" op 95 Mvt I ",Full Orchestra,N,,,
328,Oscar Fox/Goltz,My Heart is a Silent Violin,Full Orchestra,N,,,
329,C. Franck,Symphony in D Minor,F,5,Play 1,,
330,G. Frescobaldi,Toccata,Full Orchestra,5,,,
331,Gershwin,I Got Rhythm Variations,piano  orchestra,N,,,
332,Gershwin,George Gershwin in Concert,Full Orchestra,N,,,
